freq_per_A,resolution_A,P6_vs_P7,P6_vs_P8,P7_vs_P8
0.00000,,1.0000,1.0000,1.0000
0.00377,265.60,0.9822,0.9844,0.9962
0.00753,132.80,0.9644,0.9612,0.9923
0.01130,88.53,0.8148,0.7389,0.9625
0.01506,66.40,0.8200,0.7018,0.8985
0.01883,53.12,0.7285,0.6233,0.9029
0.02259,44.27,0.6338,0.5478,0.8693
0.02636,37.94,0.5749,0.4709,0.7214
0.03012,33.20,0.5524,0.4562,0.6351
0.03389,29.51,0.5154,0.3792,0.5702
0.03765,26.56,0.4988,0.3443,0.6476
0.04142,24.15,0.3576,0.2506,0.5466
0.04518,22.13,0.2659,0.1813,0.4139
0.04895,20.43,0.2577,0.0670,0.3513
0.05271,18.97,0.2470,-0.0526,0.2835
0.05648,17.71,0.2006,0.0400,0.2108
0.06024,16.60,0.1671,0.1268,0.2764
0.06401,15.62,0.1450,0.1189,0.3073
0.06777,14.76,0.1112,0.1575,0.2826
0.07154,13.98,0.1803,0.1601,0.2426
0.07530,13.28,0.2020,0.0613,0.1664
0.07907,12.65,0.1980,0.0986,0.1261
0.08283,12.07,0.1545,0.1406,0.1271
0.08660,11.55,0.1271,0.0565,0.1035
0.09036,11.07,0.1177,-0.0357,-0.0560
0.09413,10.62,0.1354,-0.0339,-0.0155
0.09789,10.22,0.1281,-0.0180,0.0208
0.10166,9.84,0.0901,0.0266,0.0014
0.10542,9.49,0.0936,0.0090,0.0265
0.10919,9.16,0.1044,0.0194,0.0159
0.11295,8.85,0.1164,0.0089,0.0213
0.11672,8.57,0.1523,-0.0226,0.0090
0.12048,8.30,0.1447,-0.0179,0.0015
0.12425,8.05,0.1377,0.0068,-0.0349
0.12801,7.81,0.1110,0.0136,-0.0254
0.13178,7.59,0.0917,-0.0114,0.0007
0.13554,7.38,0.0865,-0.0370,-0.0172
0.13931,7.18,0.0782,-0.0253,-0.0074
0.14307,6.99,0.0596,-0.0257,-0.0053
0.14684,6.81,0.0143,-0.0125,0.0029
