k,bic,aic,loglik,converged,min_weight
1,1961616.6790670434,1961523.5510734245,-980752.7755367123,True,1.0
2,1957636.1865154367,1957439.5829733524,-978700.7914866762,True,0.49215495467517073
3,1955102.6857647798,1954802.6066742302,-977372.3033371151,True,0.27275107408694754
4,1954970.0425919744,1954566.4879529593,-977244.2439764796,True,0.22962841572745138
5,1954736.5603911092,1954229.5302036286,-977065.7651018143,True,0.14840656326024862
6,1954784.451763503,1954173.9460275571,-977027.9730137786,True,0.11750527634632564
7,1954883.5363572005,1954169.555072789,-977015.7775363945,True,0.11177849422808425
8,1954945.2991216,1954127.8422887232,-976984.9211443616,True,0.08499656926572864
9,1955081.341018064,1954160.4086367218,-976991.2043183609,True,0.0713973016526825
10,1955123.9014984458,1954099.493568638,-976950.746784319,True,0.07770296595375902
